Searchterm,Impressions,Clicks,Cost,Conversions,ConversionValue,CTR,CPC,CostPerConversion,Campaigns,AdGroups,MatchedKeywords,MatchTypes,QueryTargetingStatuses,NumRows
acupuncture mpls,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,Excluded,1
acupuncture places near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
acupuncture plymouth mn,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
acupuncture waconia,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
acupuncture waconia mn,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,broad,None,1
acupuncturist near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional doctor in my area | holistic dr near me,broad,None,2
agada integrative health center,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
all natural dr,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,exact (close variant),None,1
allergist minnetonka,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic medicine Minneapolis,broad,None,1
allergists minneapolis,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,alternative medicine doctors near me,broad,None,1
allina health clinic,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,functional medicine doctor eden prairie | integrative medicine near me | naturopathic doctor Minneapolis | naturopathic doctor near me,broad,None,4
allina health clinic near me,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me | naturopathic doctor Minneapolis | naturopathic doctor near me,broad,None,3
allina penny george institute,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
allopathic doctor near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
alternative medicine clinic,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
alternative medicine doctor,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,functional medicine,broad,None,1
alternative medicine doctors,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,exact (close variant),None,1
anthroposophical doctor,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
arbora health,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
ayurveda dr near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
b17 cancer,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,natural medicine Minnesota,broad,None,1
best acupuncture minneapolis,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
best acupuncture twin cities,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me | naturopathic doctor Minneapolis,broad,None,3
best endocrinologists,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,broad,None,1
best fibromyalgia doctors near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
best functional doctor near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,broad,Added,1
best pain clinic in minnesota,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor Minneapolis,broad,None,1
bewell natural medicine,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
bhrt minneapolis,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic medicine Minneapolis | naturopathic doctor near me,broad | phrase (close variant),None,2
bhrt near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
bio energetic synchronization technique near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
bio tuning near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
bioharmony health and wellness,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
bioharmony health edina,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me,broad,None,2
bioidentical hormone replacement therapy minneapolis,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,holistic medicine Minneapolis | integrated and functional medicine | naturopathic doctor near me,broad | phrase (close variant),None,3
black female primary care physicians near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic dr near me,broad,None,1
body code practitioner near me,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me | naturopathic doctor near me,broad,None,2
buffalo clinic buffalo mn,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic medicine Minneapolis,broad,None,1
chinese medicine near me,8,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,holistic dr near me | integrative medicine near me | natural medicine Minnesota | naturopathic doctor near me,broad,None,4
chiropractor functional medicine near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,phrase (close variant),None,1
christian functional medicine doctor,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
christian holistic nutritionist,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
chronic constipation specialist,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me,broad,None,2
clinica hennepin minneapolis,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,broad,None,1
colon cleanse minneapolis,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
colonics hydrotherapy near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
community acupuncture,8,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core,functional integrative medicine near me | holistic dr near me | natural healing doctors near me | natural medicine Minnesota | naturopathic doctor Minneapolis,broad,None,6
concierge doctors near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
crystalin montgomery,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,holistic medicine Minneapolis | natural pediatrician near me,broad | phrase (close variant),None,2
dietician minneapolis,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me | naturopathic doctor near me,broad,None,2
dimple jangda,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
direct primary care minneapolis,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | naturopathic doctor near me,broad,None,2
do near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | naturopathic doctor near me,broad,None,2
doctor barbara o neill,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
doctor functional medicine,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,functional medicine near me,exact (close variant),None,1
doctor jaramillo,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
doctor of osteopathy near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional integrative medicine near me | holistic dr near me,broad,None,2
doctor office near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
doctores homeópatas cerca de mi,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
doctores naturales,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
doctors who practice eastern and western medicine near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
doctors who treat cirs near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr ales ulishchenko,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr austin lake functional medicine,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,broad,None,1
dr axe clinic,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr berg l reuteri,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
dr bernarda zenker,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr chris foley minnesota natural medicine,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr darren schmidt,8,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,functional medicine | functional medicine doctors near me | holistic dr near me | naturalist dr near me | naturopathic doctor near me,broad,None,5
dr david brownstein,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
dr ed group,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,alternative medicine doctors near me | holistic dr near me,broad,None,2
dr ekberg,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr homeo,9,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine near me | functional doctor | functional medicine near me | holistic dr near me | integrative doctor | natural doctor near me | naturopathic practitioner near me,broad,None,7
dr ilyes baghli,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr irestone,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr jaban moore,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr josh axe,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
dr joshua levitt,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,natural pediatrician near me,broad,None,1
dr kathleen hopkins,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr khadar xasan axmed,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,alternative medicine doctors near me,broad,None,1
dr lauren tessier,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr mike hyman,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr obaz,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr patrick,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr pedi natural health,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,functional medicine,phrase (close variant),None,1
dr pompa,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me,broad,None,2
dr rachel erickson nd and associates,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr shawn o mara,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr troy spurrill,6,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine near me | functional medical physician | holistic dr near me | integrative medicine near me | naturopathic doctor near me,broad | phrase (close variant),None,5
dr turner naturopath,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr wilson,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | natural pediatrician near me,broad,None,2
dr zach bush,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dutch test naturopath,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
eastern medicine doctors near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,holistic dr near me | integrative medicine near me,broad | phrase (close variant),None,2
eden prairie family medicine,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
elina lipovskiy do,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
enema treatment near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
environmental medicine doctor near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
fairview integrative medicine,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
fairview riverside hospital,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic medicine Minneapolis,broad,None,1
family medicine physician,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,broad,None,1
fertility doctors mn,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor Minneapolis,broad,None,1
fibro specialist near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
fibromyalgia doctor near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
find a do near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
food allergy doctors,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor Minneapolis,broad,None,1
food allergy specialist,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Naturopath Near Me — Core,holistic dr near me | naturopathic dr near me,broad,None,2
four gates acupuncture,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | natural medicine Minnesota,broad,None,2
function medicine,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
functional family doctor,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
functional gastroenterologist near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine near me | holistic dr near me,broad | phrase (close variant),None,2
functional health doctors,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | holistic pediatricians near me,broad,None,2
functional health o fallon,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
functional internal medicine,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
functional md near me,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional doctor in my area | holistic dr near me,broad | exact (close variant),None,2
functional med near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,alternative medicine doctors near me,phrase (close variant),None,1
functional medical doctor,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me,broad,None,2
functional medicine approach to ulcerative colitis,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
functional medicine autism near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,alternative medicine doctors near me,broad,None,1
functional medicine bioidentical hormones,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor Minneapolis,broad,None,1
functional medicine buffalo mn,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me | natural medicine Minnesota | naturopathic doctor near me,broad | phrase (close variant),None,3
functional medicine clinics,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
functional medicine dermatology,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,broad,None,1
functional medicine doctor minnetonka,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | naturopathic family medicine,broad,Added,2
functional medicine doctor near me that takes insurance,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
functional medicine family doctor near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
functional medicine gi,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor Minneapolis,broad,None,1
